trigger_num,name,ra,dec,lii,bii,day_trigger,time,seconds_trigger,error_radius,earth_angle,overwrite,overwritten,max_cts_64,threshold_64,flux_64,flux_64_error,flux_64_time,max_cts_256,threshold_256,flux_256,flux_256_error,flux_256_time,max_cts_1024,threshold_1024,flux_1024,flux_1024_error,flux_1024_time,t50,t50_error,t50_start,t90,t90_error,t90_start,fluence_1,fluence_1_error,fluence_2,fluence_2_error,fluence_3,fluence_3_error,fluence_4,fluence_4_error,comments_quality,comments_otherobs,comments_general,comments_position,comments_duration
2442,4B 930711-,211.62,-37.39,319.06,23.12, 9179,49179.63235,54635.162, 7.88,75.3,N,N,   0.677,  66,  0.5940,  0.2050,   0.4480,   1.053, 132,  0.4790,  0.1010,   0.6400,   1.351, 242,  0.3740,  0.0500,   0.7680,  12.608, 0.516,    0.512,  23.680, 0.792,   -0.640,0.00000007579,0.000000015948,0.000000097395,0.000000017032,0.00000016948,0.000000042782,0,0.00000062641,,,,,
2443,4B 930711-,251.05,-50.56,335.66,-3.1, 9179,49179.99578,86035.098, 1.41,107.05,N,N,,,  2.2230,  0.2620,   5.9520,,,  2.0950,  0.1290,   6.5280,,,  1.9280,  0.0630,   6.8480,   5.632, 0.143,    3.712,  28.896, 1.541,   -5.120,0.00000070575,0.00000003348,0.000001414,0.000000038524,0.0000041455,0.000000099885,0.0000081114,0.000001341,,,Bg source in LAD 1.,,
2446,4B 930714,257.7,23.7,45.2,31.99, 9182,49182.67562,58373.786, 0.97,111.22,N,N,   4.622,  66,  4.3780,  0.3310,   3.4560,   8.087, 132,  3.8300,  0.1580,   4.0960,  13.186, 264,  3.4710,  0.0770,   4.2880,   4.736, 0.091,    2.432,   8.256, 0.547,    0.832,0.00000044816,0.000000017386,0.0000010595,0.000000020936,0.0000040623,0.000000055213,0.0000034544,0.00000056293,,"Ulysses rate increase, WATCH/GRANAT, PHEBUS/GRANAT",Precursor emission at T-10s.,,
2447,4B 930715,223.03,3.39,358.74,52.66, 9183,49183.62592,54079.13, 2.15,100.62,N,N,   0.815,  66,  0.8150,  0.2450,  20.0960,   1.105, 121,  0.5520,  0.1180,  -0.3840,   1.661, 242,  0.4680,  0.0580,  21.0560,  33.088, 1.134,    0.448,  64.288, 1.541,   -9.216,0.00000051141,0.000000033458,0.0000007583,0.000000033874,0.00000070027,0.000000085322,0.0000014742,0.0000011309,,,Emission at ~T-200s is related to the event.,,
2448,4B 930719-,287.65,-55.32,341.53,-24.66, 9187,49187.37239,32174.234, 5.10,147.71,N,N,   1.039,  66,  0.8450,  0.2500,   0.3840,   1.714, 132,  0.7550,  0.1220,   0.3840,   2.545, 264,  0.6470,  0.0590,   0.6400,   0.440, 0.051,   -0.081,   0.768, 0.521,   -0.239,0.0000000013438,0.0000000035817,0.00000001629,0.0000000035261,0.00000017054,0.000000010178,0.00000057825,0.000000094834,,,,,
2449,4B 930719-,212.18,1.36,341.89,58.26, 9187,49187.47069,40667.226, 7.32,111.21,N,N,,,  1.2510,  0.2530,   0.0000,,,  0.5910,  0.1130,   0.0640,,,  0.1670,  0.0510,   0.6400,   0.096, 0.011,   -0.099,   0.208, 0.058,   -0.163,0.0000000042555,0.0000000016259,0.0000000037993,0.0000000015842,0.000000036945,0.0000000048256,0.00000026869,0.00000013268,Data gap during burst accumulation interval.,,Occultation step (rise) at ~T+150s in LAD 4.,,
2450,4B 930720-,20.82,25.34,131.95,-36.97, 9188,49188.60775,52509.85, 0.50,98.56,N,N,   9.094,  66,  8.2770,  0.4260,  66.8800,  15.737, 132,  7.5690,  0.2050,  66.9440,  28.712, 264,  6.5670,  0.0970,  67.0080,  11.904, 0.202,   54.784,  45.888, 0.264,   38.336,0.0000021851,0.000000030287,0.0000040553,0.000000039897,0.000011969,0.00000010857,0.0000091136,0.0000012496,,"Mars Observer rate increase; Ulysses rate increase, DMS rate increase",Emission at ~T+195s is related to the event.,,
2451,4B 930720-,95.51,47.17,167.17,14.89, 9188,49188.84894,73348.25, 2.82,110.77,N,N,   1.413,  66,  3.3800,  0.6790,   4.2880,   2.202, 132,  2.8210,  0.3280,   4.4160,   3.235, 242,  2.6150,  0.1620,   5.0560,  17.984, 0.181,    2.816,  35.008, 0.453,   -2.544,0.0000013711,0.000000079792,0.0000021845,0.000000075592,0.000004642,0.00000014726,0,0.00000069238,,CGRO-COMPTEL,Occultation step (rise) at ~T-900s in LAD 2 (bg source).; Precursor at ~T-125s.,,
2452,4B 930721-,78.66,-33.15,236.31,-33.7, 9189,49189.05373, 4642.458, 1.52,107.66,N,N,   1.232,  66,  1.1780,  0.2270,   3.2000,   1.957, 132,  0.9930,  0.1100,   5.9520,   2.678, 264,  0.8800,  0.0540,   6.5280,  10.368, 0.286,    3.776,  22.976, 1.180,   -0.128,0.00000098297,0.000000025911,0.0000011155,0.000000023387,0.0000017447,0.000000056889,0.0000003234,0.00000049173,,Ulysses rate increase,,,
2453,4B 930721-,298.58,-40.79,359.13,-28.72, 9189,49189.53166,45935.258, 1.79,163.02,N,N,,,  1.7900,  0.2580,   4.2240,,,  1.5310,  0.1250,   5.8240,,,  1.0690,  0.0590,   4.8000,   2.880, 0.231,    3.776,  10.112, 2.631,   -0.704,0.000000325,0.000000017534,0.00000040163,0.000000018633,0.00000043274,0.000000043302,0,0.00000044603,Data gap during burst accumulation interval.,Ulysses rate increase,Bg source in LAD 1.,,
2454,4B 930721-,109.84,-16,230.31,-1.24, 9189,49189.62144,53692.058, 4.74,139.1,N,N,   1.099,  71,  1.1580,  0.2400,   0.0000,   1.763, 143,  0.8970,  0.1150,   0.1920,   2.413, 286,  0.6980,  0.0560,   0.8320,   0.632, 0.097,    0.019,   1.359, 0.218,   -0.320,0.000000039104,0.000000018248,0.000000096225,0.000000015794,0.00000019201,0.000000042845,0.00000078353,0.00000068144,,,,,
2458,4B 930724-,289.6,58.31,89.34,19.46, 9192,49192.0985, 8510.362, 3.77,86.49,N,N,   3.635,  66,  3.0360,  0.2920,   0.4480,   6.202, 132,  2.6810,  0.1410,   0.5760,   7.034, 242,  1.8620,  0.0640,   1.2160,   2.208, 0.011,    0.508,   4.976, 0.132,   -0.248,0.00000038612,0.000000013362,0.00000027262,0.000000015571,0.00000048729,0.000000039274,0.00000040145,0.00000052955,,,Occultation step (rise) at ~T+950s in LAD 4 & 6.,,
2460,4B 930724-,75.92,0.23,199.67,-23.66, 9192,49192.6545,56549.146, 4.01,127.69,N,N,   1.423,  66,  1.2880,  0.2340,   0.3200,   2.094, 132,  1.0440,  0.1120,   0.1920,   3.390, 264,  0.8250,  0.0540,   0.8960,   1.660, 0.066,    0.160,   4.352, 0.453,   -0.448,0.00000015813,0.000000016845,0.00000017188,0.000000014788,0.00000023214,0.000000035314,0,0.00000026899,,,Occultation step (rise) at ~T-650s in LAD 2 (bg source).,,
2461,4B 930724-,50.05,-49.04,260.53,-54.01, 9192,49192.69892,60386.97, 1.26,85.85,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,Ulysses rate increase,Bg source in LAD 3.,,"Visual duration estimate of ~ 90 s, using MER, DISCSC, and DISCLB."
2462,4B 930725,267.15,13.11,37.91,19.76, 9193,49193.64433,55670.426,11.13,134.59,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,Occultation step (rise) at ~T-800s in LAD 4 & 5 (bg source).,,"Visual duration estimate of > 15 s, using DISCLB."
2466,4B 930727-,159.99,-23.89,268,29.92, 9195,49195.33923,29309.594, 1.28,128.85,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,Ulysses rate increase,,,"Visual duration estimate of > 30 s, using TTS, DISCLB, and DISCSC."
2468,4B 930727-,309.4,27.97,70.02,-7.9, 9195,49195.56634,48932.122,14.47,130.25,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,,,"Visual duration estimate of > 0.2 s, using PREB and DISCLB."
2472,4B 930730,304.55,27.95,67.52,-4.41, 9198,49198.21786,18822.81, 5.30,109.24,N,N,   0.689,  66,  0.6420,  0.2120,   5.7600,   0.698, 132,  0.3860,  0.1010,   0.0000,   1.235, 286,  0.2900,  0.0490,   3.0720,  17.344, 1.319,    1.472,  41.696, 3.912,   -4.096,0.00000012099,0.000000016908,0.00000024134,0.000000018899,0.00000081463,0.000000046975,0.00000055813,0.00000051253,,,Occultation step (rise) at ~T-800s in LAD 5 & 7 (bg source).,,
2475,4B 930731-,116.53,45.49,173.55,28.21, 9199,49199.13647,11791.002, 2.15,140.31,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,Ulysses rate increase,,,"Visual duration estimate of > 3 s,using DISCLB, PREB, and TTS."
2476,4B 930731-,102.31,37.38,178.55,15.67, 9199,49199.26663,23036.57, 0.65,165.31,N,N,,,  2.0660,  0.2710,  28.1600,,,  1.7540,  0.1310,  24.0640,,,  1.6520,  0.0650,  28.4800,  14.400, 0.143,   11.904,  31.680, 0.500,    0.768,0.00000243,0.000000031801,0.0000026561,0.000000027525,0.0000037981,0.000000062868,0.0000005243,0.00000045029,Data gap during burst accumulation interval.,"Ulysses rate increase, Mars Observer rate increase",,,
2477,4B 930801,292.78,46.02,78.39,12.81, 9200,49200.09183, 7933.850, 1.58,72.51,N,N,   1.715,  66,  1.5280,  0.2360,   2.1120,   2.982, 132,  1.3060,  0.1140,   2.3040,   5.068, 264,  1.2780,  0.0570,   2.8800,   7.552, 0.643,    2.240,  15.872, 4.482,    0.256,0.00000017567,0.000000019348,0.00000066509,0.00000002117,0.0000015949,0.000000052908,0,0.00000032243,,"Ulysses rate increase, Mars Observer rate increase",Occultation step (decay) at ~T-200s in LAD 7.; Source occulted by the Earth; only part of event is seen.,,
2481,4B 930805-,284.28,58.7,88.81,22.22, 9204,49204.08279, 7153.306, 7.27,94.98,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,,,Visual duration estimate of > 5 s.
2482,4B 930805-,334.55,-15.6,42.93,-52.68, 9204,49204.52742,45568.666, 0.83,90.86,N,N,   1.054,  71,  1.4050,  0.2680,   3.5200,   1.914, 143,  1.3200,  0.1320,   4.0960,   3.000, 286,  1.1800,  0.0650,   2.1120,  11.904, 0.286,    3.712,  35.584, 4.037,    0.064,0.00000074783,0.000000021475,0.0000012281,0.000000025241,0.0000020628,0.000000068495,0.00000014784,0.00000051066,,Ulysses rate increase,,,
2483,4B 930807-,351.93,-1.36,81.5,-57.34, 9206,49206.66178,57177.754,12.03,110.66,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,Occultation step (rise) at ~T+700s in LAD 5.,,"Visual duration estimate of > 0.8 s., using TTE data."
2484,4B 930807-,275.1,-56.84,337.77,-18.42, 9206,49206.91863,79369.37, 1.33,111,N,N,   1.662,  66,  1.7480,  0.2650,   2.2400,   2.879, 132,  1.5510,  0.1290,   2.3680,   4.019, 242,  1.4060,  0.0630,   2.3680,   4.480, 0.362,    1.344,  11.392, 1.370,   -0.576,0.0000003023,0.000000018561,0.00000049721,0.000000020639,0.0000017565,0.000000052859,0,0.00000039635,,,,,
2485,4B 930809-,163.39,-65.83,291.25,-5.67, 9208,49208.10089, 8717.018, 9.93,141.84,N,N,   1.014,  71,  1.2930,  0.2820,   0.0000,-999, 143,  0.8640,  0.1330,   0.0640,   0.587, 264,  0.2680,  0.0600,   0.5760,   0.128, 0.011,   -0.126,   0.176, 0.025,   -0.134,0.0000000053081,0.0000000025386,0.000000012826,0.0000000019651,0.00000003475,0.0000000053375,0,0.00000010546,,,,,
2486,4B 930809-,37.97,-74.63,294.39,-40.79, 9208,49208.21602,18664.09, 1.79,102.69,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,Ulysses rate increase,,,"Visual duration estimate of > 75 s, using TTS, MER, DISCLB data."
2487,4B 930811,273.46,42.63,69.98,24.57, 9210,49210.58451,50501.53, 7.27,106.66,N,N,,,  2.1740,  0.3060,   0.0640,,,  1.4490,  0.1400,   0.1280,,,  0.4730,  0.0590,   0.5120,   0.128, 0.036,   -0.044,   0.336, 0.069,   -0.188,0.000000011125,0.0000000038661,0.000000010229,0.0000000032249,0.0000001123,0.0000000090902,0.00000045648,0.00000014902,Data gap during burst accumulation interval.,,Occultation step (rise) at ~T-300s in LAD 2 (bg source).,,
2489,4B 930812,166.51,26.39,208.68,66.5, 9211,49211.53168,45937.37, 7.75,122.74,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval. Extremely little data available.,,Occultation step (rise) at ~T+70s in LAD 7.,,"Visual duration estimate of ~ 1 s, PREB and TTE not available."
2490,4B 930815,283.6,-10.98,23.46,-5.63, 9214,49214.22688,19602.074, 3.04,87.37,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,Occultation step (decay) at ~T+600s in LAD 2 & 6 (bg source).,,"Visual duration estimate of ~ 7 s, using DISCLB and DISCLA gap data."
2491,4B 930816,69.03,62.69,145.72,10.24, 9215,49215.0364, 3144.794, 5.01,91.38,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,,Location Derived using only max rates,"Visual duration estimate of ~ 0.07 s, using TTE and DISCLA gap data."
2494,4B 930817,88.97,-48.25,255.37,-28.85, 9216,49216.20048,17321.306,11.08,127.07,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,,,"Visual duration estimate of > 1 s, using DISCLB data."
2495,4B 930819,105.77,-49.28,259.56,-18.43, 9218,49218.67293,58141.338, 2.89,113.77,N,N,   0.772,  66,  0.7760,  0.2080,   2.3040,   1.336, 132,  0.6950,  0.1020,   4.0960,   2.148, 264,  0.6340,  0.0500,   4.8000,  20.672, 0.326,    3.776,  38.080, 1.042,   -0.064,0.00000012599,0.000000023644,0.00000029273,0.000000022952,0.0000015099,0.000000056074,0.0000024805,0.0000005787,,,,,
2496,4B 930820,153.05,-51.88,279.6,3.63, 9219,49219.01289, 1113.754, 5.70,135.2,N,N,-999,  66,  0.6750,  0.2970,  -0.3840,-999, 132,  0.4800,  0.1430,  -0.1920,   1.083, 242,  0.3380,  0.0690,   0.1280,  17.472, 2.136,   -0.576,  36.512, 3.083,   -3.072,0.000000043327,0.000000024101,0.00000004378,0.000000024493,0.00000026184,0.00000005735,0,0.00000038578,,,,,
2498,4B 930821,235.32,-7.94,358.63,35.97, 9220,49220.41086,35498.202, 2.78,128.09,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,,,"Visual duration estimate of > 10 s, using DISCLB data."
2499,4B 930822-,266.61,-6.87,19.19,11.11, 9221,49221.26564,22951.578, 2.54,90.37,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,,,"Visual duration estimate of > 35 s, using DISCLB and TTS."
2500,4B 930822-,213.09,-0.68,341.2,56.06, 9221,49221.61449,53091.994, 2.28,141.78,N,N,   1.431,  66,  1.4670,  0.2450,   1.2160,   2.456, 132,  1.2400,  0.1190,   1.7920,   5.280, 264,  1.1660,  0.0590,   1.7280,  39.168, 0.551,    5.312,  70.912, 1.350,    0.576,0.00000095517,0.000000032352,0.0000013453,0.00000003386,0.0000031261,0.000000082247,0.0000048832,0.0000010032,,Ulysses rate increase,Bg source in LAD 2.; Occultation step (rise) at ~T+150s in LAD 3 & 7.,,
2502,4B 930824,255.25,6.03,25.39,27.26, 9223,49223.261,22549.978, 6.19,85.4,N,N,-999,  60,  1.9670,  0.2500,   0.0000,   1.447, 121,  1.4390,  0.1150,   0.1920,   2.054, 242,  0.4970,  0.0470,   0.8960,   0.200, 0.023,   -0.013,   0.512, 0.051,   -0.077,0.0000000046575,0.0000000024588,0.000000014367,0.0000000026153,0.00000011607,0.0000000078269,0.00000051495,0.00000010998,,,Occultation step (rise) at ~T+300s in LAD 3 & 7.,,
2504,4B 930826,175.07,29.59,199.81,74.17, 9225,49225.79038,68288.73, 4.73,113.66,N,N,   3.567,  60,  3.4970,  0.2860,   0.0000,-999, 121,  1.3910,  0.1120,   0.1280,   1.409, 242,  0.3410,  0.0470,   0.5120,   0.128, 0.091,   -0.064,   0.128, 0.091,   -0.064,0,0.000000023323,0.000000030492,0.000000016624,0.0000001355,0.000000040407,0.00000025616,0.00000039633,,,Phosphorescence spike at ~T+10s.,,
2505,4B 930828,177.11,37.24,171.73,73.31, 9227,49227.06069, 5243.546, 2.65,120.87,N,N,,,  0.7900,  0.2030,   0.1280,,,  0.6860,  0.1000,   0.2560,,,  0.5280,  0.0490,   9.6000,  18.912, 1.145,   -8.192,  65.056, 4.971,  -24.576,0.00000034567,0.00000004648,0.00000049748,0.000000037509,0.0000014256,0.000000085532,0,0.00000046703,Data gap during burst accumulation interval.,,,,Includes significant pre-trigger emission.
2506,4B 930829,317.25,-38.21,4.7,-42.61, 9228,49228.98519,85120.666, 4.31,101.29,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,,Location Derived using only max rates,"Visual duration estimate of > 20 s, using DISCLB data."
2507,4B 930831,223.29,-3.63,351.34,47.47, 9230,49230.38618,33365.658, 0.47,114.82,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,Ulysses rate increase,,,"Visual duration estimate of  16 s., using gap data."
2508,4B 930901,158.28,-38.36,275.21,16.95, 9231,49231.06126, 5292.698, 8.84,118.01,N,N,   0.779,  60,  0.6950,  0.2380,  -0.3200,   0.944, 121,  0.5190,  0.1140,  -0.1280,   1.410, 242,  0.3480,  0.0550,   0.5760,  24.960, 5.318,    0.960,  29.184, 1.270,   -0.832,0.000000070995,0.000000025055,0.000000061001,0.000000025295,0.00000060676,0.000000069862,0.000004571,0.000001478,,,,,
2509,4B 930902-,233.42,49,79.1,51.97, 9232,49232.28987,25044.826, 1.32,100.74,N,N,,,  2.2480,  0.2550,   1.6640,,,  1.8520,  0.1210,   1.6640,,,  1.6060,  0.0590,   1.7280,,,,,,,0.00000031659,0.000000023386,0.0000003052,0.000000020612,0.0000015786,0.000000056683,0.0000059266,0.0000010122,Data gap during burst accumulation interval.,,,,Visual duration estimate of > 4 s.
2510,4B 930902-,103.12,16.15,198.59,7.51, 9232,49232.89443,77278.874, 2.56,159.44,N,N,   0.914,  66,  0.9240,  0.2240,   2.5600,   1.627, 132,  0.8020,  0.1100,   2.5600,   2.322, 242,  0.6990,  0.0540,   3.3920,   5.056, 0.389,    1.280,  15.552, 2.057,   -1.216,0.00000045596,0.000000039488,0.00000074936,0.000000043438,0.0000018517,0.00000010374,0.0000010956,0.0000010147,,,Precursor at ~T-60s.,,
2511,4B 930903-,88.67,-10.42,216,-17.28, 9233,49233.01353, 1169.050, 4.20,170.8,N,Y,,,  2.1380,  0.2620,   1.6640,,,  1.7920,  0.1240,   2.8800,,,  1.2000,  0.0570,   3.2000,  32.192, 0.580,    1.792,  64.288, 8.402,   -3.072,0.00000033434,0.000000021371,0.0000003537,0.00000002408,0.00000056486,0.000000054047,0,0.00000035494,Data gap during burst accumulation interval.,Ulysses rate increase,,,Data gap from T+237 to T+267 s.
2512,4B 930903-,242.84,-69.47,318.94,-13.08, 9233,49233.10876, 9397.274, 4.12,107.72,Y,N,   1.456, 195,  3.5190,  0.3000,   0.0000,-999,-999,  2.1410,  0.1280,   0.0640,-999,-999,  0.6640,  0.0490,   0.3200,   0.112, 0.011,   -0.077,   0.359, 0.075,   -0.256,0.000000020116,0.000000002504,0.000000027283,0.0000000026902,0.00000012308,0.0000000075576,0.00000014808,0.000000088124,,,,,
2513,4B 930903-,201.33,10.63,330.35,71.67, 9233,49233.53654,46357.402, 5.97,148.99,N,N,,,  0.9460,  0.2440,  -0.1280,,,  0.7800,  0.1180,   0.0000,,,  0.3980,  0.0550,   0.3840,   0.448, 0.091,   -0.192,   1.408, 0.202,   -0.320,0.000000020677,0.000000014748,0.00000005187,0.000000016449,0.000000058383,0.000000042296,0.0000012361,0.00000088548,Data gap during burst accumulation interval.,,Occultation step (rise) at ~T-200s in LAD 2 (bg source). Bg source in LAD 0.,,Data gap from T+200 to T+321 s.; High time resolution data not available.
2514,4B 930905-,310.95,-1.22,45.44,-25.38, 9235,49235.14341,12390.234, 0.63,155.34,N,N,,, 28.4050,  0.7420,   0.1280,,, 18.1520,  0.3030,   0.1920,,,  4.7320,  0.0910,   0.5120,   0.112, 0.011,   -0.002,   0.200, 0.094,   -0.063,0.00000010405,0.0000000032764,0.00000020922,0.0000000044473,0.00000089344,0.000000012431,0.0000021639,0.0000001525,Data gap during burst accumulation interval.,"Ulysses, PHEBUS/GRANAT",,,
2515,4B 930905-,330.05,-67.9,323.03,-41.92, 9235,49235.91264,78851.738, 3.89,138.9,N,Y,,,  1.0100,  0.2690,  -0.1280,,,  0.8610,  0.1320,  -0.1280,,,  0.7130,  0.0650,   0.0000,   2.848, 1.042,   -3.072,  10.528, 1.494,   -9.216,0.000000060911,0.000000012085,0.000000098845,0.00000001312,0.00000031722,0.000000034586,0,0.00000023023,Data gap during burst accumulation interval. Very limited data available.,,,,Includes significant pre-trigger emission.
2519,4B 930909,15.83,36.84,125.58,-25.97, 9239,49239.67654,58453.402, 1.72,98.1,N,N,,,  1.6800,  0.2750,   0.2560,,,  1.5290,  0.1360,   0.4480,,,  1.2930,  0.0660,   1.0240,  62.848, 0.834,    8.512,  90.240, 2.755,    0.768,0.0000009295,0.000000032526,0.0000013508,0.000000036325,0.0000026402,0.000000096663,0.0000012138,0.00000095763,,,,,
2520,4B 930910-,160.2,3.33,244.54,50.76, 9240,49240.3192,27579.16,14,159.5,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval. Very limited data available.,,,Location Derived using only max rates,"Visual duration estimate of > 25 s, using DISCLB data."
2521,4B 930910-,157.72,-0.59,246.51,46.31, 9240,49240.33614,29042.65, 4.83,154.77,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,,,"Visual duration estimate of > 0.5 s, using MER data."
2522,4B 930910-,167.59,-66.69,293.16,-5.76, 9240,49240.50843,43928.218, 0.54,92.79,N,N,,,  3.8610,  0.3280,  75.5200,,,  3.2280,  0.1560,  75.6480,,,  2.3670,  0.0700,  76.4160,  56.704, 0.091,   19.712,  83.072, 0.231,    2.496,0.0000018944,0.000000036598,0.0000027495,0.000000041745,0.000010785,0.00000011088,0.0000062172,0.000001136,Data gap during burst accumulation interval.,"Ulysses rate increase, WATCH/GRANAT",,,
2523,4B 930911,178.31,52.87,141.82,62.07, 9241,49241.96946,83761.434, 4.90,138.05,N,N,   1.849,  66,  1.5570,  0.2530,   0.3840,   3.158, 132,  1.3730,  0.1230,   0.4480,   1.898, 264,  0.8210,  0.0550,   0.9600,   0.312, 0.018,    0.232,   0.680, 0.115,    0.048,0.000000018079,0.0000000035367,0.000000025495,0.0000000030127,0.00000017712,0.0000000086928,0.00000074964,0.00000012367,,,Occultation step (rise) at ~T-50s in LAD 2 & 3 (bg source).,,
2528,4B 930913-,294.27,44.27,77.27,11.08, 9243,49243.71195,61512.346, 3.58,104.01,N,N,   0.762,  60,  0.7100,  0.2310,   1.5360,   1.040, 121,  0.5070,  0.1100,   1.6640,   1.390, 242,  0.3870,  0.0540,   2.4320,   9.120,26.627,   -6.144,  61.920, 3.789,  -40.960,0.00000027317,0.000000041017,0.00000019847,0.000000043556,0.00000031555,0.00000010019,0,0.0000015837,,,Precursor ~T-40s.,,Includes significant pre-trigger emission.
2529,4B 930913-,154.33,15.92,222.31,52.62, 9243,49243.73281,63314.714, 9.63,141.99,N,N,   1.030,  66,  1.0680,  0.2440,   0.0000,   1.114, 132,  0.6900,  0.1150,   0.0000,-999, 264,  0.1980,  0.0520,   0.5760,   0.192, 0.091,   -0.192,   0.256, 0.091,   -0.256,0.000000046333,0.000000019157,0.000000012818,0.000000015515,0.000000044078,0.0000000413,0.00000006048,0.00000054789,,,Particle event at ~T+550s in LAD 1 & 3.,,
2530,4B 930914,34.26,34.29,142.41,-25.32, 9244,49244.1175,10151.578, 1.53,88.78,N,N,   1.982,  66,  2.0330,  0.2650, 114.6240,   3.614, 132,  1.8600,  0.1300, 114.6240,   4.943, 242,  1.7320,  0.0640, 115.2000,  81.600, 0.181,   36.928, 194.880, 0.516,    9.024,0.0000039893,0.000000038761,0.0000050056,0.000000047114,0.0000099589,0.00000010847,0.00000063575,0.00000076171,,Ulysses rate increase,Possible GRB source occultation.,,
2532,4B 930916-,23.96,-25.58,206.58,-79.94, 9246,49246.14114,12194.458, 4.90,78.49,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval. Limited data available.,,,,"Visual duration estimate of > 20 s, using DISCLB data."
2533,4B 930916-,280.71,65.39,95.51,25.37, 9246,49246.8468,73163.418, 0.22,81.28,N,N,  11.166,  66, 10.2700,  0.5020,  27.5200,  19.408, 132,  8.9180,  0.2370,  27.6480,  32.799, 264,  7.8980,  0.1120,  35.3920,  25.984, 0.202,   24.320,  74.304, 5.314,   10.560,0.0000045802,0.000000034029,0.000010178,0.000000048803,0.000049174,0.00000014312,0.00013834,0.0000015538,,Ulysses rate increase,,,
2536,4B 930922-,164.64,-32.08,276.7,24.98, 9252,49252.2201,19016.666, 7.79,88.7,N,N,,,  1.1430,  0.2590,   0.0000,,,  0.3800,  0.1120,   0.1920,,,  0.1460,  0.0530,   0.2560,   0.128, 0.091,   -0.064,   0.128, 0.091,   -0.064,0.0000000049436,0.000000001449,0.0000000057893,0.0000000016288,0.000000014777,0.0000000045501,0.00000021729,0.00000013533,Data gap during burst accumulation interval.,,,,Data gap from T+181 to T+302 s.; High time resolution data not available.
2537,4B 930922-,271.2,55.89,84.22,28.58, 9252,49252.26721,23086.81, 0.45,113.7,N,N,,, 27.2830,  0.7040,   1.1520,,, 25.5720,  0.3410,   0.5120,,, 19.5060,  0.1500,   1.2800,   3.008, 0.091,    0.832,   4.800, 0.091,    0.256,0.0000039229,0.000000022376,0.0000044378,0.000000023938,0.000010097,0.000000061106,0.0000012217,0.00000039399,Data gap during burst accumulation interval.,"Ulysses, DMS rate increase",,,
2538,4B 930924,313.7,10.31,57.67,-21.55, 9254,49254.04369, 3775.130, 5.24,132.36,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,,,"Visual duration estimate of ~ 40 s, using DISCLB; and DISCLA gap data."
2539,4B 930925,96.98,-54.66,263.47,-25.13, 9255,49255.57014,49259.674,11.77,84.36,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data gap during burst accumulation interval.,,Occultation step (rise) at ~T-1000s in LAD 7 (bg source).,,"Visual duration estimate of > 15 s, using DISCLB data."
2541,4B 930926,66.44,30.51,168.27,-12.93, 9256,49256.70406,60830.362, 3.63,119.78,N,N,   1.377,  66,  1.2700,  0.2340,   0.5120,   2.302, 132,  1.2010,  0.1160,   0.6400,   3.629, 264,  0.8810,  0.0550,   1.0240,  35.808, 1.208,  -19.456,  89.376, 6.103,  -55.296,0.00000058775,0.000000036773,0.00000065548,0.000000041158,0.0000010891,0.0000001009,0.0000033714,0.0000017081,,,,,Includes significant pre-trigger emission.
2542,4B 930927,108.61,-9.52,224.02,0.72, 9257,49257.17926,15487.642, 1.62,113.84,N,N,   1.892,  71,,,,   3.547, 143,,,,   6.231, 308,,,,  13.056, 0.143,   -0.704,  45.344, 1.056,  -27.648,,,,,,,,,,"Ulysses rate increase, WATCH/GRANAT",,,Includes significant pre-trigger emission.
